Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_9,c_6,c_2,c_1,0.7205,0.8385296097755432
model_2,c_9,c_6,c_2,c_2,0.73,0.7836834834098816
model_3,c_9,c_6,c_2,c_3,0.7508,0.7397252212524414
model_4,c_9,c_6,c_2,c_4,0.7406,0.7695551170349121
model_5,c_9,c_6,c_2,c_5,0.7196,0.8363813536643981
model_6,c_9,c_6,c_2,c_6,0.7209,0.8139537190437317
model_7,c_9,c_6,c_2,c_7,0.71,0.8447703476905822
model_8,c_9,c_6,c_2,c_8,0.7456,0.8020741801261901
model_9,c_9,c_6,c_2,c_9,0.7567,0.7287406164169311
model_10,c_9,c_6,c_2,c_10,0.7113,0.838795977306366
model_11,c_9,c_6,c_2,c_11,0.7387,0.8045578897476197
model_12,c_9,c_6,c_2,c_12,0.7304,0.8202718804359436
model_13,c_9,c_6,c_2,m_1,0.7249,0.7986346507072448
model_14,c_9,c_6,c_2,m_2,0.7311,0.7895309378623963
model_15,c_9,c_6,c_2,m_3,0.7572,0.7241079801559448
model_16,c_9,c_6,c_2,s,0.7257,0.8431558944702149
