Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_0,c_1,-,-,-,0.3729264538452529,Unknown
model_1,c_2,-,-,-,0.29643098482474006,Unknown
model_2,c_3,-,-,-,0.06512757655011192,Unknown
model_3,c_4,-,-,-,0.79294384889868,Unknown
model_4,c_5,-,-,-,0.07050313562687427,Unknown
model_5,c_6,-,-,-,0.37604547517729003,Unknown
model_6,c_7,-,-,-,0.07404128455845527,Unknown
model_7,c_8,-,-,-,0.7827647254798554,Unknown
model_8,c_9,-,-,-,0.5898745984029568,Unknown
model_9,c_10,-,-,-,0.9196416015032768,Unknown
model_10,c_11,-,-,-,0.5315630005970295,Unknown
model_11,c_12,-,-,-,0.31295501131022674,Unknown
model_12,m_1,-,-,-,0.3454769831984391,Unknown
model_13,m_2,-,-,-,0.6484538750154314,Unknown
model_14,m_3,-,-,-,0.6818493895583674,Unknown
model_15,s,-,-,-,0.2962787281442416,Unknown
model_16,c_10,c_1,-,-,0.4801388981674055,Unknown
model_17,c_10,c_2,-,-,0.8208494372554684,Unknown
model_18,c_10,c_3,-,-,0.03188160661603945,Unknown
model_19,c_10,c_4,-,-,0.2536582571678482,Unknown
model_20,c_10,c_5,-,-,0.204824723504623,Unknown
model_21,c_10,c_6,-,-,0.9931117640118651,Unknown
model_22,c_10,c_7,-,-,0.662910787555345,Unknown
model_23,c_10,c_8,-,-,0.8320283003920477,Unknown
model_24,c_10,c_9,-,-,0.8987669383559906,Unknown
model_25,c_10,c_10,-,-,0.031415475285108796,Unknown
model_26,c_10,c_11,-,-,0.5872990230485557,Unknown
model_27,c_10,c_12,-,-,0.2036674803559484,Unknown
model_28,c_10,m_1,-,-,0.15486001554833928,Unknown
model_29,c_10,m_2,-,-,0.8459350668474187,Unknown
model_30,c_10,m_3,-,-,0.2862966243325552,Unknown
model_31,c_10,s,-,-,0.008182767870915653,Unknown
model_32,c_10,c_6,c_1,-,0.8116590872671076,Unknown
model_33,c_10,c_6,c_2,-,0.915448627721521,Unknown
model_34,c_10,c_6,c_3,-,0.8280865154414426,Unknown
model_35,c_10,c_6,c_4,-,0.007319476629810695,Unknown
model_36,c_10,c_6,c_5,-,0.67259224513932,Unknown
model_37,c_10,c_6,c_6,-,0.9784149129531966,Unknown
model_38,c_10,c_6,c_7,-,0.6682200817028098,Unknown
model_39,c_10,c_6,c_8,-,0.12325831138831556,Unknown
model_40,c_10,c_6,c_9,-,0.6292095874049012,Unknown
model_41,c_10,c_6,c_10,-,0.5574863524596542,Unknown
model_42,c_10,c_6,c_11,-,0.9066678239906395,Unknown
model_43,c_10,c_6,c_12,-,0.8952550795075063,Unknown
model_44,c_10,c_6,m_1,-,0.6316565267134688,Unknown
model_45,c_10,c_6,m_2,-,0.17937620810621768,Unknown
model_46,c_10,c_6,m_3,-,0.5952212355475331,Unknown
model_47,c_10,c_6,s,-,0.4000932534420285,Unknown
model_48,c_10,c_6,c_6,c_1,0.45963439862879196,Unknown
model_49,c_10,c_6,c_6,c_2,0.1914764819835333,Unknown
model_50,c_10,c_6,c_6,c_3,0.2771600258714647,Unknown
model_51,c_10,c_6,c_6,c_4,0.7458693252808336,Unknown
model_52,c_10,c_6,c_6,c_5,0.4518452232229728,Unknown
model_53,c_10,c_6,c_6,c_6,0.9718909310204547,Unknown
model_54,c_10,c_6,c_6,c_7,0.42717338575181496,Unknown
model_55,c_10,c_6,c_6,c_8,0.7574143631442322,Unknown
model_56,c_10,c_6,c_6,c_9,0.9843972672650371,Unknown
model_57,c_10,c_6,c_6,c_10,0.5597215523113604,Unknown
model_58,c_10,c_6,c_6,c_11,0.012101938291777414,Unknown
model_59,c_10,c_6,c_6,c_12,0.09135257839257871,Unknown
model_60,c_10,c_6,c_6,m_1,0.9421983294292033,Unknown
model_61,c_10,c_6,c_6,m_2,0.04094966474960793,Unknown
model_62,c_10,c_6,c_6,m_3,0.38751570321361795,Unknown
model_63,c_10,c_6,c_6,s,0.03727903023336632,Unknown
