Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss,max
model_1,c_1,-,-,-,0.942,0.2057923,0.9746
model_2,c_2,-,-,-,0.9448,0.1941046,
model_3,c_3,-,-,-,0.9454,0.19215427,
model_4,c_4,-,-,-,0.9404,0.20936689,
model_5,c_5,-,-,-,0.9455,0.19485852,
model_6,c_6,-,-,-,0.946,0.18914154,
model_7,c_7,-,-,-,0.9389,0.21351184,
model_8,c_8,-,-,-,0.9429,0.19909261,
model_9,c_9,-,-,-,0.9447,0.19319272,
model_10,c_10,-,-,-,0.9373,0.21532778,
model_11,c_11,-,-,-,0.942,0.20083347,
model_12,c_12,-,-,-,0.9438,0.19489788,
model_13,m_1,-,-,-,0.8741,0.54067034,
model_14,m_2,-,-,-,0.8679,0.5476932,
model_15,m_3,-,-,-,0.7706,0.8777911,
model_16,s,-,-,-,0.8937,0.4152833,
model_17,c_6,c_1,-,-,0.9669,0.1075034,
model_18,c_6,c_2,-,-,0.9652,0.11007654,
model_19,c_6,c_3,-,-,0.9672,0.10577896,
model_20,c_6,c_4,-,-,0.9673,0.10900122,
model_21,c_6,c_5,-,-,0.9669,0.105393,
model_22,c_6,c_6,-,-,0.967,0.104999796,
model_23,c_6,c_7,-,-,0.9683,0.10736271,
model_24,c_6,c_8,-,-,0.9688,0.10620831,
model_25,c_6,c_9,-,-,0.9686,0.10734735,
model_26,c_6,c_10,-,-,0.9656,0.11121408,
model_27,c_6,c_11,-,-,0.9674,0.106290005,
model_28,c_6,c_12,-,-,0.9691,0.103921264,
model_29,c_6,m_1,-,-,0.9333,0.23711286,
model_30,c_6,m_2,-,-,0.9393,0.21744564,
model_31,c_6,m_3,-,-,0.9473,0.20309865,
model_32,c_6,s,-,-,0.9438,0.19272603,
model_33,c_6,c_8,c_1,-,0.973,0.085500754,
model_34,c_6,c_8,c_2,-,0.9731,0.08338016,
model_35,c_6,c_8,c_3,-,0.9737,0.086822286,
model_36,c_6,c_8,c_4,-,0.9741,0.082869224,
model_37,c_6,c_8,c_5,-,0.9727,0.08504479,
model_38,c_6,c_8,c_6,-,0.9733,0.082671456,
model_39,c_6,c_8,c_7,-,0.972,0.08994209,
model_40,c_6,c_8,c_8,-,0.9728,0.08740275,
model_41,c_6,c_8,c_9,-,0.9741,0.08569408,
model_42,c_6,c_8,c_10,-,0.9722,0.08486014,
model_43,c_6,c_8,c_11,-,0.9723,0.08821886,
model_44,c_6,c_8,c_12,-,0.9746,0.07996836,
model_45,c_6,c_8,m_1,-,0.9625,0.13015158,
model_46,c_6,c_8,m_2,-,0.9619,0.12745984,
model_47,c_6,c_8,m_3,-,0.9676,0.111392565,
model_48,c_6,c_8,s,-,0.9679,0.10522183,
model_49,c_6,c_8,c_12,c_1,0.9723,0.08612704,
model_50,c_6,c_8,c_12,c_2,0.9729,0.08124219,
model_51,c_6,c_8,c_12,c_3,0.9731,0.08421931,
model_52,c_6,c_8,c_12,c_4,0.972,0.09259643,
model_53,c_6,c_8,c_12,c_5,0.9714,0.0882665,
model_54,c_6,c_8,c_12,c_6,0.9722,0.088481784,
model_55,c_6,c_8,c_12,c_7,0.9712,0.0856306,
model_56,c_6,c_8,c_12,c_8,0.9739,0.08361128,
model_57,c_6,c_8,c_12,c_9,0.9739,0.08354344,
model_58,c_6,c_8,c_12,c_10,0.9726,0.0873417,
model_59,c_6,c_8,c_12,c_11,0.9738,0.08458214,
model_60,c_6,c_8,c_12,c_12,0.9732,0.08105473,
model_61,c_6,c_8,c_12,m_1,0.9728,0.08412163,
model_62,c_6,c_8,c_12,m_2,0.9728,0.08484273,
model_63,c_6,c_8,c_12,m_3,0.9741,0.08546815,
model_64,c_6,c_8,c_12,s,0.9744,0.08299296,
