Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_1,-,-,-,0.6696,0.9888510162353515
model_2,c_2,-,-,-,0.6691,0.9737604592323303
model_3,c_3,-,-,-,0.6957,0.9480729113578796
model_4,c_4,-,-,-,0.6844,0.93884985704422
model_5,c_5,-,-,-,0.69,0.9230113230705261
model_6,c_6,-,-,-,0.7031,0.885877583694458
model_7,c_7,-,-,-,0.6819,0.9469366768836975
model_8,c_8,-,-,-,0.6637,1.0188716011047363
model_9,c_9,-,-,-,0.7048,0.8985873554229736
model_10,c_10,-,-,-,0.6645,1.0012813360214234
model_11,c_11,-,-,-,0.6979,0.898367395401001
model_12,c_12,-,-,-,0.657,1.018228985309601
model_13,m_1,-,-,-,0.637,1.0513378482818603
model_14,m_2,-,-,-,0.6901,0.9384157706260681
model_15,m_3,-,-,-,0.668,0.9572113813400268
model_16,s,-,-,-,0.6226,1.1082304454803467
