Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_6,c_8,c_1,-,0.973,0.085500754
model_2,c_6,c_8,c_2,-,0.9731,0.08338016
model_3,c_6,c_8,c_3,-,0.9737,0.086822286
model_4,c_6,c_8,c_4,-,0.9741,0.082869224
model_5,c_6,c_8,c_5,-,0.9727,0.08504479
model_6,c_6,c_8,c_6,-,0.9733,0.082671456
model_7,c_6,c_8,c_7,-,0.972,0.08994209
model_8,c_6,c_8,c_8,-,0.9728,0.08740275
model_9,c_6,c_8,c_9,-,0.9741,0.08569408
model_10,c_6,c_8,c_10,-,0.9722,0.08486014
model_11,c_6,c_8,c_11,-,0.9723,0.08821886
model_12,c_6,c_8,c_12,-,0.9746,0.07996836
model_13,c_6,c_8,m_1,-,0.9625,0.13015158
model_14,c_6,c_8,m_2,-,0.9619,0.12745984
model_15,c_6,c_8,m_3,-,0.9676,0.111392565
model_16,c_6,c_8,s,-,0.9679,0.10522183
