Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_501,c_11,c_6,c_9,c_12,0.5328,1.297202124595642
model_502,c_11,c_2,c_6,c_12,0.5364,1.315281936454773
model_503,c_12,c_2,c_9,c_12,0.5539,1.2548125789642335
model_504,c_9,m_3,c_10,c_10,0.4908,1.4038462036132813
model_505,c_12,m_3,c_9,c_1,0.4867,1.40620332736969
model_506,c_2,c_11,m_1,m_1,0.5105,1.4077306198120116
model_501,c_11,c_6,c_9,c_12,0.7268,0.8216022477149963
model_502,c_11,c_2,c_6,c_12,0.7546,0.7474617240905762
model_503,c_12,c_2,c_9,c_12,0.7261,0.8355686416625977
model_504,c_9,m_3,c_10,c_10,0.7568,0.7273494999885559
model_505,c_12,m_3,c_9,c_1,0.7162,0.8309616222381592
model_506,c_2,c_11,m_1,m_1,0.72,0.8225874079704285
model_507,c_9,c_3,c_1,c_11,0.7131,0.8549880112648011
model_508,c_12,c_7,c_3,c_4,0.7128,0.9507436959266663
model_509,c_11,m_2,c_3,c_4,0.7351,0.7708474261283874
model_510,c_5,c_8,c_4,m_1,0.7395,0.7706636738777161
model_511,c_7,c_1,c_5,c_2,0.6598,1.0443311449050903
model_512,c_8,m_2,m_2,c_6,0.7579,0.7460673570632934
model_513,c_12,c_1,c_7,c_12,0.7563,0.7508892460346221
model_514,c_3,c_11,c_12,s,0.742,0.7764509531021118
model_515,c_3,c_12,m_3,c_8,0.7671,0.6836139726638794
model_516,c_9,c_11,c_1,c_8,0.7015,0.9416331122398377
