Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1201,c_9,c_4,m_1,c_5,0.7353,0.8280293909072876
model_1202,c_3,c_11,c_5,c_8,0.7265,0.8226367961883545
model_1203,c_10,m_3,c_7,c_3,0.7619,0.7210380620002746
model_1204,m_2,c_1,c_11,c_12,0.6915,0.9902107921600342
model_1205,c_6,m_2,c_2,s,0.7421,0.7774229810714721
model_1206,c_12,m_3,c_6,c_8,0.7891,0.6432113380908966
model_1207,c_9,c_2,c_3,m_3,0.7208,0.8040677023887635
model_1208,c_11,c_12,c_3,c_9,0.7441,0.7840048562049866
model_1209,c_3,c_4,s,-,0.6902,0.9090167127609253
model_1210,c_12,c_3,c_7,c_12,0.7442,0.791600213432312
model_1211,c_9,c_11,c_12,c_9,0.7335,0.7877148780822754
model_1212,c_12,c_11,m_2,c_4,0.7546,0.7747458711624146
model_1213,c_8,c_12,c_12,c_1,0.7145,0.8935467619895935
model_1214,c_2,c_12,c_2,c_3,0.7235,0.8612581276893616
model_1215,c_11,c_3,c_11,m_3,0.7219,0.8258783059120178
model_1216,c_9,c_5,c_9,c_12,0.7452,0.7865905088424683
model_1217,c_3,c_5,c_7,m_3,0.7244,0.7926604756355285
model_1218,c_6,c_3,c_5,c_4,0.7421,0.7864806566238404
model_1219,c_1,c_5,s,-,0.6944,0.8836858979225158
model_1220,c_2,c_4,c_9,c_8,0.7374,0.8093317533493042
model_1221,c_11,c_5,s,-,0.701,0.8851969083786011
model_1222,c_2,c_7,m_1,c_5,0.6827,0.9051338935852051
model_1223,c_6,m_1,c_9,c_2,0.7416,0.7580705637931824
model_1224,c_2,c_1,c_10,c_1,0.7206,0.8314972871780395
model_1225,c_5,c_6,c_12,c_8,0.7201,0.8412669929504395
model_1226,c_2,c_1,c_6,c_11,0.7057,0.8789303331375122
model_1227,c_11,c_10,c_9,c_8,0.7473,0.7448472227096558
model_1228,c_5,c_3,c_9,c_8,0.7516,0.761191346168518
model_1229,c_6,m_3,c_5,c_3,0.7331,0.787775421333313
model_1230,c_2,c_9,m_1,c_11,0.7214,0.8998782863616943
model_1231,c_2,c_5,s,-,0.7069,0.8492812016487121
model_1232,c_6,m_2,c_7,c_12,0.7494,0.7715909873962402
model_1233,c_4,c_4,c_1,c_11,0.7152,0.825422675895691
model_1234,c_11,c_3,s,-,0.7242,0.8697366013526916
model_1235,c_12,m_1,s,-,0.6979,0.8903127051353454
model_1236,c_8,m_3,c_3,c_1,0.7611,0.7174345450401306
model_1237,m_2,c_3,c_10,c_10,0.6866,1.0011163874626159
model_1238,c_12,c_4,c_4,c_9,0.733,0.8123516397476196
model_1239,c_11,s,-,-,0.7019,0.9010982040405273
model_1240,c_2,c_10,c_6,c_5,0.7144,0.8469527265548706
model_1241,c_6,c_5,c_6,m_2,0.725,0.8068683227539063
model_1242,c_9,c_7,c_9,c_10,0.7015,0.9167477452278138
model_1243,c_4,c_6,c_1,s,0.7016,0.9059089452743531
model_1244,c_2,c_1,c_12,c_5,0.7371,0.7622084078788758
model_1245,c_5,c_3,c_9,c_3,0.7359,0.7768017676353455
model_1246,c_4,m_3,c_11,c_2,0.7185,0.8338751587867737
model_1247,c_1,c_8,m_3,c_10,0.7464,0.7259316788673401
model_1248,c_5,c_2,s,-,0.7023,0.8952049981117248
model_1249,c_7,c_11,c_7,c_2,0.7233,0.8666345664978027
model_1250,c_6,c_5,m_1,c_5,0.7184,0.8016863940238953
model_1251,c_2,c_12,c_8,c_3,0.7312,0.7915159954071045
model_1252,c_2,c_9,c_3,c_1,0.7412,0.788271901512146
model_1253,c_5,c_1,c_5,m_1,0.7042,0.8696946827888489
model_1254,c_5,c_12,m_3,c_7,0.7443,0.7652691249847412
model_1255,c_1,c_11,c_1,m_2,0.7358,0.8142443683624268
model_1256,c_7,c_6,c_11,m_3,0.7386,0.7762512084960937
model_1257,c_1,c_4,c_9,c_3,0.7603,0.7240947877883911
model_1258,c_7,c_2,c_11,c_1,0.7305,0.7902260989189148
model_1259,c_3,c_10,s,-,0.7198,0.8274294631004333
model_1260,c_4,c_7,c_1,c_11,0.7212,0.8216342823028564
model_1261,c_6,c_1,m_2,c_8,0.7054,0.8463643688201904
model_1262,c_5,c_3,m_1,c_4,0.7038,0.9170829133987427
model_1263,c_2,c_1,c_3,m_2,0.7007,0.8683994061470032
model_1264,m_1,m_2,m_2,-,0.597,1.1902820041656494
model_1265,c_10,c_1,m_2,c_2,0.7166,0.8358133527755738
model_1266,c_1,c_12,s,-,0.7041,0.863914803314209
model_1267,c_4,c_1,c_4,c_9,0.7188,0.8428655131340027
model_1268,c_9,c_11,c_8,c_6,0.7376,0.7636852087974548
model_1269,m_1,s,-,-,0.6498,1.014902940273285
model_1270,c_5,m_1,m_1,c_7,0.7149,0.8465860070228577
model_1271,c_11,c_11,m_1,m_1,0.7356,0.7749041566848754
model_1272,c_1,c_1,m_2,c_6,0.6916,0.8704899250030518
model_1273,c_6,c_8,c_10,c_7,0.7318,0.7952062185287475
model_1274,c_11,c_10,m_3,c_9,0.7496,0.7320729072570801
model_1275,c_9,c_9,c_1,-,0.7353,0.7957898753166198
model_1276,c_4,c_3,m_3,m_2,0.7321,0.7749943078994751
model_1277,c_3,m_1,c_4,m_1,0.6697,0.9519742696762085
model_1278,c_10,c_7,c_5,m_2,0.7024,0.8527638909339905
model_1279,c_3,m_2,c_8,m_3,0.6996,0.8491975417137146
model_1280,c_3,c_12,c_3,c_9,0.7518,0.7317275966644287
model_1281,c_6,s,-,-,0.6629,0.9866160575866699
model_1282,c_1,c_2,m_1,c_1,0.6903,0.8971727974891662
model_1283,c_1,c_1,c_6,m_2,0.7236,0.8049563418388367
model_1284,c_3,c_12,c_4,c_12,0.7279,0.8188598056793213
model_1285,c_11,c_10,c_4,c_9,0.7477,0.7586234307289124
model_1286,c_8,c_4,c_4,c_7,0.6919,0.8862581042289734
model_1287,c_1,c_10,c_7,c_2,0.7041,0.8789635687828063
model_1288,c_4,s,-,-,0.6775,0.9669654952049256
model_1289,c_8,c_10,c_1,s,0.7163,0.8683022235870361
model_1290,c_3,c_2,c_4,m_3,0.721,0.8197369249343872
model_1291,c_3,c_6,m_1,c_1,0.7181,0.9005399257659912
model_1292,c_4,c_2,m_3,c_3,0.7411,0.7459457602500915
model_1293,c_10,c_9,m_1,s,0.7029,0.8894072099685669
model_1294,c_6,m_1,c_10,m_3,0.7325,0.9056433086395264
model_1295,c_10,c_6,c_6,m_2,0.7128,0.8343262244224549
model_1296,c_2,m_1,c_5,s,0.7179,0.8391657335281372
model_1297,c_9,c_12,c_9,c_4,0.7594,0.7579181771755219
model_1298,c_8,c_2,c_3,c_2,0.74,0.7881884307861328
model_1299,c_5,m_1,c_2,c_10,0.7286,0.7816602031707763
model_1300,c_6,m_2,m_2,c_1,0.7165,0.8524457843780517
model_1301,c_7,c_4,c_6,m_3,0.7132,0.8247725176811218
model_1302,c_1,c_9,c_8,c_3,0.724,0.8035255785942078
model_1303,c_10,c_11,c_10,c_11,0.7483,0.7897408807754517
model_1304,c_12,m_3,c_11,s,0.7708,0.6929179317474365
model_1305,c_9,c_2,c_8,m_2,0.6832,0.9363823818206787
model_1306,c_3,c_8,c_3,m_1,0.6864,0.910947409248352
model_1307,c_11,c_1,s,-,0.6984,0.920780208492279
model_1308,c_7,c_7,c_7,c_7,0.6934,0.9085027492523193
model_1309,c_7,c_10,m_3,c_1,0.7241,0.7967312881469727
model_1310,c_9,m_2,c_8,m_3,0.7361,0.7726675782203675
model_1311,c_8,s,-,-,0.6959,0.9036032420158386
model_1312,c_6,c_3,c_11,c_10,0.728,0.8056162568092347
model_1313,c_5,c_3,c_5,c_6,0.7401,0.7993240007400513
model_1314,c_4,c_9,m_2,c_1,0.7075,0.8603079032897949
model_1315,c_6,c_4,s,-,0.703,0.883493148803711
model_1316,c_6,c_12,c_2,c_9,0.7393,0.7964739938735962
model_1317,c_6,m_2,m_2,c_9,0.7461,0.7579142510414123
model_1318,c_4,c_9,m_3,c_5,0.7305,0.7899231058120727
model_1319,c_9,c_7,c_9,c_11,0.7355,0.7930297744750977
model_1320,c_6,c_7,c_10,c_5,0.7118,0.8503393943786621
model_1321,c_4,c_3,c_12,c_5,0.7181,0.8421748693466187
model_1322,c_8,m_1,s,-,0.6935,0.9138834007263184
model_1323,c_9,m_3,c_5,c_2,0.7559,0.7371984763145447
model_1324,c_4,c_12,m_3,c_5,0.7697,0.6859214600563049
model_1325,c_2,m_2,c_6,c_6,0.742,0.7719963200569153
model_1326,c_12,c_6,c_3,c_3,0.7347,0.7804683304786683
model_1327,c_9,c_7,c_3,c_7,0.7454,0.776626624584198
model_1328,c_10,c_7,m_3,c_10,0.7327,0.7752654236793518
