EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_0,c_6,c_4,c_1,c_8,0.9807,0.059876386
episode_1,c_5,c_4,c_9,m_1,0.9808,0.05902005
episode_2,c_2,c_10,m_2,c_5,0.9711,0.09313846
episode_3,c_10,c_6,c_1,c_3,0.9795,0.06619243
episode_4,c_2,c_1,c_3,m_2,0.9804,0.061595798
episode_5,c_2,m_2,c_8,m_2,0.9679,0.10396113
episode_6,c_2,c_1,m_2,c_8,0.9705,0.095798284
episode_7,c_8,c_1,c_7,c_11,0.9809,0.060179543
episode_8,c_3,m_2,c_8,m_3,0.9709,0.09861464
episode_9,c_2,m_3,c_11,c_12,0.9688,0.09805016
episode_10,c_3,c_3,c_10,c_8,0.9781,0.06544271
episode_11,c_2,c_1,c_6,c_3,0.9806,0.06052495
episode_12,c_12,c_2,c_8,c_2,0.9807,0.059763152
episode_13,c_5,c_11,m_3,c_1,0.9805,0.06446717
episode_14,c_1,c_11,c_3,c_6,0.9804,0.06184937
episode_15,c_9,c_2,c_8,m_2,0.9798,0.059511825
episode_16,m_2,m_3,c_10,c_4,0.282,1.9378843
episode_17,c_12,c_6,c_6,c_6,0.9807,0.06161135
episode_18,c_1,m_2,c_7,s,0.9638,0.11727742
episode_19,c_2,c_6,c_9,c_4,0.9808,0.060487118
episode_20,c_4,c_2,c_6,c_12,0.9803,0.060191534
episode_21,c_1,c_2,c_3,c_12,0.9811,0.06147395
episode_22,c_5,c_3,c_9,m_3,0.981,0.057982482
episode_23,c_12,c_6,c_3,c_3,0.9791,0.06335271
episode_24,c_4,c_11,m_1,c_11,0.9722,0.09236679
episode_25,c_12,m_3,c_4,c_9,0.9747,0.08828791
episode_26,c_5,c_10,c_1,c_10,0.9803,0.065974884
episode_27,c_10,c_11,c_1,c_10,0.9806,0.06271075
episode_28,c_7,m_2,c_6,c_4,0.9643,0.11689243
episode_29,c_12,c_10,c_4,c_1,0.9809,0.062230665
episode_29,c_12,c_10,c_4,c_1,0.9799,0.06637684
episode_30,c_9,c_9,m_1,c_1,0.9735,0.08549303
episode_31,m_1,c_6,c_8,c_10,0.9579,0.14375664
episode_32,c_4,c_7,c_1,c_11,0.9798,0.061901104
episode_33,c_1,m_2,c_5,c_5,0.9643,0.11681385
episode_34,c_10,c_6,m_1,c_9,0.974,0.087817065
episode_35,c_2,c_6,c_5,c_3,0.9801,0.06242996
episode_36,c_1,m_1,c_8,c_12,0.9666,0.1105884
episode_37,c_7,m_1,c_4,c_7,0.9654,0.115905665
episode_38,c_11,c_7,c_5,c_10,0.9804,0.057973567
episode_39,c_3,c_10,c_12,c_5,0.9812,0.0613197
episode_40,c_2,c_1,c_10,c_1,0.9807,0.05875539
episode_41,c_11,m_2,c_3,c_4,0.9687,0.1066057
episode_42,c_1,c_9,c_7,c_5,0.9803,0.062590964
episode_43,c_4,s,-,-,0.9588,0.14197478
episode_43,c_4,s,-,-,0.9584,0.14299645
episode_43,c_4,s,-,-,0.9587,0.13953258
episode_44,c_8,m_3,c_9,c_12,0.9709,0.09812579
episode_45,c_5,c_11,c_12,c_2,0.9813,0.06003616
episode_46,c_3,m_3,c_2,s,0.9744,0.08600824
episode_47,c_9,m_1,c_10,c_4,0.9677,0.10693857
episode_48,c_1,c_5,c_12,c_6,0.9813,0.057423465
episode_49,c_12,c_9,c_3,m_1,0.9805,0.06272955
episode_50,c_11,c_2,c_9,c_1,0.9808,0.06023071
episode_51,c_6,c_5,s,-,0.9766,0.076352805
episode_52,c_12,c_11,m_3,c_4,0.9799,0.06859865
episode_53,c_4,c_5,c_3,c_11,0.9787,0.06371457
episode_54,c_10,c_2,m_1,c_2,0.9716,0.09144215
episode_55,c_6,c_5,s,-,0.9766,0.076352805
episode_56,c_2,m_3,c_9,c_8,0.9668,0.10929117
episode_57,c_4,c_1,c_9,c_8,0.9822,0.057350915
episode_58,c_7,c_9,c_4,c_10,0.9813,0.061491452
episode_59,m_2,m_3,c_10,c_4,0.282,1.9378843
episode_60,c_6,c_8,c_12,c_8,0.9811,0.06382395
episode_61,c_3,c_4,c_9,c_6,0.9786,0.06619497
episode_62,c_7,c_9,c_1,m_3,0.9806,0.061649587
episode_63,c_10,c_1,c_9,c_4,0.9806,0.060291328
episode_64,c_7,c_6,c_3,c_10,0.9811,0.058992337
episode_65,c_12,m_2,m_3,c_9,0.9492,0.2054983
episode_66,c_12,c_8,c_4,c_7,0.9796,0.06365447
episode_67,c_7,c_1,m_2,c_4,0.9711,0.097369425
episode_68,c_2,c_4,c_5,c_11,0.9803,0.06304216
episode_69,c_11,c_3,c_5,s,0.9817,0.05985505
episode_70,c_5,c_4,m_3,c_11,0.975,0.08211986
episode_71,c_3,c_8,c_1,c_8,0.9777,0.06571635
episode_72,c_3,c_4,s,-,0.9754,0.077086404
episode_72,c_3,c_4,s,-,0.9763,0.07313987
episode_73,c_1,c_1,m_2,c_8,0.9701,0.09634421
episode_74,c_1,c_2,c_6,m_2,0.9813,0.05984089
episode_75,c_4,c_9,m_1,c_9,0.9738,0.08689149
episode_76,c_8,c_2,c_7,c_4,0.9808,0.059057858
episode_77,c_11,c_4,m_1,c_10,0.9722,0.09327568
episode_78,c_10,c_10,c_6,m_3,0.9814,0.059637856
episode_79,c_6,c_5,c_5,c_5,0.9789,0.06509986
episode_80,c_10,c_5,c_7,m_3,0.9806,0.05937302
episode_81,c_11,c_6,c_12,c_6,0.9794,0.063087195
episode_82,c_6,c_4,c_7,m_2,0.9807,0.06068979
episode_83,c_7,c_11,c_3,c_9,0.9797,0.06132094
episode_84,c_9,c_4,s,-,0.9772,0.072473556
episode_85,m_3,c_11,c_5,c_5,0.8703,0.39369377
episode_86,c_9,c_6,c_5,m_3,0.9814,0.058819868
episode_87,c_10,m_2,s,-,0.948,0.18090208
episode_88,c_3,c_10,m_3,c_5,0.9775,0.07554755
episode_89,c_10,m_1,c_10,c_6,0.9669,0.10986902
episode_90,c_2,s,-,-,0.962,0.13089815
episode_90,c_2,s,-,-,0.9618,0.1329981
episode_91,c_2,c_11,c_4,c_10,0.9795,0.061958596
episode_92,c_3,c_1,c_8,m_2,0.9785,0.06606656
episode_93,c_4,c_7,c_10,c_6,0.9795,0.06596918
episode_94,c_2,m_1,c_12,c_5,0.9706,0.1037333
episode_95,c_6,c_8,c_10,c_7,0.9801,0.06256485
episode_96,c_6,c_4,c_1,c_4,0.9808,0.05913852
episode_97,c_8,c_6,m_2,c_4,0.9783,0.07183302
episode_98,c_3,m_1,c_4,m_1,0.9678,0.10876768
episode_99,c_12,c_9,c_7,s,0.9808,0.061621655
episode_100,c_6,c_11,c_4,c_9,0.9789,0.062398493
episode_101,c_2,c_2,c_1,c_8,0.9791,0.06254026
episode_102,c_2,c_8,c_11,m_2,0.9813,0.059513547
episode_103,c_8,c_10,c_1,s,0.9807,0.059578985
episode_104,c_7,m_2,m_2,c_2,0.9382,0.22824362
episode_105,c_5,c_3,m_1,c_4,0.9722,0.087475844
episode_106,m_2,m_2,c_4,c_6,0.7124,0.87268424
episode_107,c_4,c_3,m_1,m_2,0.974,0.084995
episode_108,c_4,m_1,m_1,c_5,0.9225,0.26592812
episode_109,c_6,c_1,c_1,c_3,0.9795,0.063610345
episode_110,c_12,m_1,c_10,s,0.9675,0.10762397
episode_111,c_6,c_6,c_8,c_8,0.9782,0.06473206
episode_112,c_2,c_5,c_2,c_2,0.9783,0.062399056
episode_113,c_7,m_1,m_2,c_6,0.9371,0.24205422
episode_114,c_5,c_12,c_8,c_6,0.9815,0.05939395
episode_115,c_2,c_12,c_5,c_6,0.9803,0.060695358
episode_116,c_4,c_9,c_4,c_2,0.9791,0.06070431
episode_117,c_7,m_3,c_5,c_7,0.9544,0.1534283
episode_118,c_6,c_5,m_1,c_5,0.9724,0.088333905
episode_119,c_12,c_12,c_10,c_5,0.9798,0.06083372
episode_120,c_5,c_7,s,-,0.9758,0.07535529
episode_120,c_5,c_7,s,-,0.9771,0.07350419
episode_121,c_9,c_7,c_9,c_10,0.9808,0.061905663
episode_122,c_12,c_9,c_10,c_3,0.9793,0.06395657
episode_123,c_10,c_7,c_6,s,0.981,0.060294967
episode_124,c_9,m_3,c_3,c_7,0.974,0.08792392
episode_125,c_11,c_7,s,-,0.9765,0.07292786
episode_126,c_2,c_6,c_2,c_7,0.9801,0.061314464
episode_127,c_6,c_4,c_9,c_12,0.9792,0.06254863
episode_128,c_8,c_6,c_3,m_3,0.9797,0.064344674
episode_129,c_10,c_10,c_11,c_2,0.9814,0.059472967
episode_130,c_3,c_2,c_7,c_2,0.9794,0.06708236
episode_131,c_6,c_5,c_3,c_8,0.9807,0.06079265
episode_132,c_6,c_8,c_7,m_1,0.981,0.060105577
episode_133,c_7,c_9,c_1,m_3,0.9806,0.061649587
episode_134,c_6,s,-,-,0.9632,0.12855202
episode_134,c_6,s,-,-,0.9631,0.12906559
episode_134,c_6,s,-,-,0.9626,0.1315919
episode_135,c_3,c_6,c_2,c_4,0.9792,0.06274224
episode_136,c_5,m_2,s,-,0.9542,0.16090432
episode_137,c_5,c_6,c_2,c_5,0.9805,0.061114952
episode_138,c_9,c_11,c_1,c_10,0.9766,0.070573404
episode_139,c_6,c_1,c_9,c_8,0.9809,0.058620606
episode_140,m_1,m_2,m_2,s,0.7077,0.99968606
episode_141,c_5,c_5,c_10,c_4,0.9802,0.05921455
episode_142,c_1,m_2,c_7,s,0.9638,0.11727742
episode_143,m_1,c_3,c_8,s,0.9564,0.1466198
episode_144,c_9,c_8,c_11,c_12,0.9795,0.062697105
episode_145,c_2,c_11,m_1,m_1,0.9732,0.08635829
episode_146,c_12,c_8,c_1,c_8,0.9802,0.06202762
episode_147,c_6,m_2,c_2,s,0.969,0.10444725
episode_148,c_4,m_1,m_3,c_4,0.9331,0.27489653
episode_149,c_6,m_3,c_7,m_1,0.9731,0.09079873
episode_150,c_10,c_1,c_12,c_3,0.9803,0.06202259
episode_151,c_3,c_5,c_12,c_8,0.9807,0.06176704
episode_152,c_9,c_11,c_1,c_10,0.9766,0.070573404
episode_153,c_8,c_12,c_5,m_2,0.9791,0.06407165
episode_154,c_5,c_7,m_1,c_6,0.972,0.092862025
episode_155,c_3,c_10,c_1,c_9,0.9792,0.0649299
episode_156,c_5,c_5,c_2,c_9,0.9798,0.06114738
episode_157,c_12,c_8,m_1,m_3,0.9721,0.09075223
episode_158,c_9,m_3,m_3,s,0.8447,0.6635382
episode_159,c_2,c_9,c_6,m_3,0.9794,0.06478834
episode_160,c_10,c_3,c_5,c_8,0.9799,0.0607977
episode_161,c_11,c_3,c_12,c_5,0.9802,0.062350966
episode_162,c_12,c_2,c_1,c_7,0.9793,0.06095962
episode_163,c_7,c_7,c_6,c_6,0.9793,0.06437148
episode_164,c_2,c_4,c_5,c_11,0.9803,0.06304216
episode_165,c_7,c_11,c_3,c_7,0.982,0.05761384
episode_166,c_10,m_2,c_1,c_7,0.9626,0.124763004
episode_167,c_7,c_2,c_10,c_12,0.9805,0.060677506
episode_168,c_3,m_2,c_2,c_9,0.9692,0.106526315
episode_169,c_7,c_9,c_2,c_2,0.9801,0.061385114
episode_170,c_1,c_10,c_10,c_1,0.9801,0.059456516
episode_171,c_3,c_4,c_4,c_3,0.9798,0.06309718
episode_172,c_6,c_3,c_6,c_1,0.9819,0.057592463
episode_173,c_3,m_3,c_11,c_10,0.9747,0.08765347
episode_174,c_2,m_3,c_9,c_1,0.9722,0.09393084
episode_175,c_3,c_4,c_6,s,0.9811,0.063139424
episode_176,c_8,s,-,-,0.9613,0.13357337
episode_176,c_8,s,-,-,0.962,0.13284324
episode_177,c_2,c_7,c_1,c_3,0.9803,0.060055967
episode_178,c_8,c_11,c_8,c_8,0.9784,0.067632616
episode_179,c_1,c_1,c_12,c_11,0.9805,0.059065048
episode_180,m_2,m_3,c_10,c_4,0.282,1.9378843
episode_181,c_5,c_7,c_4,c_1,0.9818,0.059050348
