EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_0,c_7,m_2,m_1,s,0.9279,0.26352653,model_291
episode_1,c_6,c_4,c_4,c_9,0.9807,0.060348313,model_687
episode_2,c_10,c_11,c_1,c_10,0.9806,0.06271075,model_1466
episode_3,c_2,m_3,c_10,c_9,0.9698,0.098634884,model_1828
episode_4,c_2,c_1,c_4,c_10,0.9797,0.06328518,model_72
episode_5,c_3,c_2,c_7,c_2,0.9794,0.06708236,model_1942
episode_6,c_11,m_2,c_12,c_4,0.9695,0.10251789,model_987
episode_7,c_3,m_1,c_5,c_6,0.9684,0.10486996,model_231
episode_8,c_11,c_11,c_6,c_7,0.9807,0.06048118,model_1698
episode_9,c_10,c_11,c_4,m_1,0.9795,0.061202362,model_1825
episode_10,c_3,c_8,c_3,m_1,0.9808,0.06129452,model_1306
episode_11,c_11,c_12,s,-,0.9764,0.0717326,model_384
episode_12,c_2,c_2,c_1,c_8,0.9791,0.06254026,model_1352
episode_13,c_3,c_12,c_4,c_12,0.9811,0.06053091,model_1284
episode_14,c_3,c_8,c_11,c_9,0.9796,0.06389948,model_695
episode_15,c_7,c_3,c_4,c_2,0.9804,0.05900244,model_1969
episode_16,c_10,c_10,c_7,c_11,0.98,0.05867622,model_60
episode_17,c_3,c_6,c_2,c_4,0.9792,0.06274224,model_879
episode_18,c_11,c_8,c_1,c_10,0.9795,0.062770806,model_1341
episode_19,c_6,c_1,c_7,c_3,0.9801,0.062460832,model_123
episode_20,c_12,m_2,c_10,s,0.9706,0.10126179,model_230
episode_21,c_5,c_11,c_11,c_4,0.9799,0.06249333,model_127
episode_21,c_5,c_11,c_11,c_4,0.9794,0.06342187,model_1491
episode_22,c_9,c_9,c_11,c_3,0.979,0.06245506,model_750
episode_23,c_7,c_9,c_12,s,0.9793,0.06428269,model_366
episode_24,c_6,c_4,c_8,c_1,0.979,0.060747508,model_1822
episode_25,c_5,c_1,c_11,m_1,0.9802,0.060365256,model_1333
episode_26,m_3,c_2,c_3,c_6,0.8705,0.3969118,model_460
episode_27,c_4,c_5,c_6,c_2,0.979,0.062239043,model_552
episode_27,c_4,c_5,c_6,c_2,0.9813,0.05904814,model_1707
episode_28,c_9,m_3,s,-,0.9668,0.11862636,model_686
episode_28,c_9,m_3,s,-,0.965,0.12245402,model_1142
episode_28,c_9,m_3,s,-,0.9654,0.12065855,model_2009
episode_29,c_2,m_2,c_1,s,0.9669,0.10810112,model_689
episode_30,c_4,c_6,m_1,c_3,0.9737,0.08601021,model_176
episode_31,c_3,c_4,m_3,m_1,0.9776,0.0764788,model_633
episode_32,c_6,c_10,c_12,c_1,0.98,0.062284905,model_1831
episode_33,c_1,c_5,c_7,c_12,0.9806,0.058223862,model_62
episode_34,c_1,m_1,s,-,0.9452,0.18321072,model_737
episode_34,c_1,m_1,s,-,0.9448,0.18632749,model_1747
episode_35,c_6,c_7,c_6,c_3,0.9794,0.061794963,model_710
episode_36,c_2,c_9,s,-,0.9793,0.069674686,model_349
episode_37,c_4,c_1,c_4,c_9,0.981,0.060862795,model_1267
episode_38,c_6,s,-,-,0.9632,0.12855202,model_53
episode_38,c_6,s,-,-,0.9631,0.12906559,model_1281
episode_38,c_6,s,-,-,0.9626,0.1315919,model_1743
episode_39,c_4,c_5,c_12,c_1,0.9786,0.067070335,model_454
episode_40,c_1,m_3,c_11,c_10,0.9597,0.1392783,model_1725
episode_41,c_11,c_6,c_5,c_8,0.9796,0.063238956,model_1506
episode_42,c_5,c_3,c_5,c_6,0.9791,0.06796301,model_1313
episode_43,c_3,c_12,m_3,c_1,0.9821,0.05906286,model_714
episode_43,c_3,c_12,m_3,c_1,0.9811,0.05961615,model_1088
episode_44,c_10,c_2,m_3,c_8,0.9792,0.07224163,model_713
episode_45,c_2,c_1,c_12,m_3,0.9799,0.060158882,model_1651
