Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_9,c_1,-,-,0.7029,0.8848519289016724
model_2,c_9,c_2,-,-,0.7014,0.8832781134605407
model_3,c_9,c_3,-,-,0.7148,0.8459940732002258
model_4,c_9,c_4,-,-,0.6889,0.9135600724220276
model_5,c_9,c_5,-,-,0.7039,0.8834971764564514
model_6,c_9,c_6,-,-,0.7349,0.7925871225357055
model_7,c_9,c_7,-,-,0.7115,0.8553532787322998
model_8,c_9,c_8,-,-,0.7039,0.8793591746330262
model_9,c_9,c_9,-,-,0.7284,0.8142765203475952
model_10,c_9,c_10,-,-,0.7173,0.8476978737831116
model_11,c_9,c_11,-,-,0.6903,0.9010861212730408
model_12,c_9,c_12,-,-,0.7103,0.8422005152702332
model_13,c_9,m_1,-,-,0.701,0.8709826425552368
model_14,c_9,m_2,-,-,0.7192,0.8319652753829956
model_15,c_9,m_3,-,-,0.7177,0.8418681529998779
model_16,c_9,s,-,-,0.716,0.8687820573806763
