Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_1,-,-,-,0.942,0.2057923
model_2,c_2,-,-,-,0.9448,0.1941046
model_3,c_3,-,-,-,0.9454,0.19215427
model_4,c_4,-,-,-,0.9404,0.20936689
model_5,c_5,-,-,-,0.9455,0.19485852
model_6,c_6,-,-,-,0.946,0.18914154
model_7,c_7,-,-,-,0.9389,0.21351184
model_8,c_8,-,-,-,0.9429,0.19909261
model_9,c_9,-,-,-,0.9447,0.19319272
model_10,c_10,-,-,-,0.9373,0.21532778
model_11,c_11,-,-,-,0.942,0.20083347
model_12,c_12,-,-,-,0.9438,0.19489788
model_13,m_1,-,-,-,0.8741,0.54067034
model_14,m_2,-,-,-,0.8679,0.5476932
model_15,m_3,-,-,-,0.7706,0.8777911
model_16,s,-,-,-,0.8937,0.4152833
