Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_6,c_1,-,-,0.9669,0.1075034
model_2,c_6,c_2,-,-,0.9652,0.11007654
model_3,c_6,c_3,-,-,0.9672,0.10577896
model_4,c_6,c_4,-,-,0.9673,0.10900122
model_5,c_6,c_5,-,-,0.9669,0.105393
model_6,c_6,c_6,-,-,0.967,0.104999796
model_7,c_6,c_7,-,-,0.9683,0.10736271
model_8,c_6,c_8,-,-,0.9688,0.10620831
model_9,c_6,c_9,-,-,0.9686,0.10734735
model_10,c_6,c_10,-,-,0.9656,0.11121408
model_11,c_6,c_11,-,-,0.9674,0.106290005
model_12,c_6,c_12,-,-,0.9691,0.103921264
model_13,c_6,m_1,-,-,0.9333,0.23711286
model_14,c_6,m_2,-,-,0.9393,0.21744564
model_15,c_6,m_3,-,-,0.9473,0.20309865
model_16,c_6,s,-,-,0.9438,0.19272603
