Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_0,c_2,c_7,c_4,c_6,0.9735,0.0830536
model_1,m_2,m_2,c_5,c_9,0.663,1.03979
model_2,c_9,c_1,c_12,c_1,0.9723,0.0882366
model_3,m_3,c_9,c_8,c_9,0.8345,0.528562
model_4,c_10,c_10,m_3,c_5,0.9521,0.159886
model_5,c_5,c_3,c_8,c_3,0.9727,0.0850514
model_6,c_11,c_3,c_8,c_2,0.973,0.0852712
model_7,c_12,c_8,c_1,m_3,0.974,0.0823976
model_8,c_3,m_3,c_2,c_6,0.9523,0.16351
model_9,m_2,m_1,c_5,c_5,0.7482,0.830127
model_10,c_2,c_8,c_9,c_2,0.9729,0.0867129
model_11,m_1,m_1,c_11,s,0.8002,0.670263
model_12,c_2,c_8,c_12,c_8,0.9726,0.0847191
model_13,c_4,c_10,m_3,c_1,0.9524,0.161414
model_14,m_2,c_4,c_5,c_12,0.9362,0.216597
model_15,c_8,m_2,c_1,c_4,0.9482,0.173438
model_16,c_3,c_1,m_3,c_10,0.9512,0.168062
model_17,m_3,c_7,m_3,m_2,0.56,1.99616
model_18,c_11,c_2,c_1,c_12,0.9735,0.0837705
model_19,m_1,c_11,c_6,c_2,0.9357,0.209159
model_20,m_2,c_8,c_11,c_11,0.9327,0.222405
model_21,m_3,c_8,c_12,c_10,0.8376,0.519233
model_22,c_10,c_11,c_9,c_2,0.9739,0.0843152
model_23,m_1,m_3,c_5,c_3,0.4669,1.60475
model_24,c_11,c_3,c_6,c_11,0.9738,0.0861332
model_25,c_4,c_12,m_2,s,0.9694,0.110317
model_26,c_8,c_12,m_3,c_9,0.9733,0.0940876
model_27,c_6,c_6,c_12,m_1,0.9724,0.0832481
model_28,c_3,c_2,c_6,c_8,0.9734,0.0850009
model_29,m_1,c_7,c_5,s,0.9364,0.208642
model_30,m_2,c_12,c_12,m_1,0.9308,0.227282
model_31,c_5,m_3,c_7,c_1,0.9398,0.20838
model_32,c_4,m_1,c_5,m_3,0.9492,0.17269
model_33,c_3,c_3,c_3,c_10,0.9741,0.0824544
model_34,m_1,c_7,c_12,m_2,0.9391,0.205124
model_35,c_10,c_7,c_10,c_5,0.975,0.0824889
model_36,c_7,c_6,c_12,c_2,0.9742,0.0801924
model_37,m_1,c_5,c_2,c_2,0.9385,0.202435
model_38,c_3,c_6,c_8,c_11,0.9728,0.08654
model_39,c_4,c_3,c_10,c_12,0.9727,0.0848153
model_40,c_11,c_7,c_9,c_4,0.9733,0.0852092
model_41,c_3,m_3,c_9,c_9,0.9614,0.136077
model_42,c_8,m_3,c_3,c_11,0.9486,0.180837
model_43,c_11,c_1,c_11,c_12,0.9736,0.0803674
model_44,m_3,m_3,c_5,c_1,0.1135,2.30107
model_45,c_6,c_11,c_2,c_7,0.9727,0.087106
model_46,c_4,m_3,c_9,c_3,0.9357,0.222871
model_47,c_9,m_1,c_2,c_7,0.9518,0.161959
model_48,c_3,m_2,c_7,m_2,0.9539,0.158602
model_49,c_9,m_3,c_11,c_8,0.9581,0.143315
model_50,c_6,c_4,c_1,c_2,0.9747,0.0840349
model_51,c_1,c_12,c_1,c_11,0.9745,0.0815911
model_52,c_6,c_4,m_2,m_3,0.958,0.144391
model_53,c_12,c_5,c_5,m_2,0.973,0.0869166
model_54,c_9,c_12,s,-,0.9693,0.104341
model_55,c_7,c_5,m_1,c_3,0.9586,0.141564
model_56,c_10,c_4,c_12,c_8,0.9744,0.0813993
model_57,m_2,c_3,c_5,c_10,0.9319,0.22387
model_58,m_1,c_5,m_3,c_12,0.9262,0.333313
model_59,c_9,c_2,m_2,c_8,0.9613,0.130057
model_60,c_6,c_4,c_4,c_1,0.9741,0.0801151
model_61,m_1,c_8,c_3,c_5,0.9359,0.211964
model_62,m_2,c_12,m_3,s,0.8742,0.530793
model_63,c_3,c_7,c_2,c_12,0.9725,0.0852606
model_64,c_5,c_10,c_12,c_2,0.9743,0.0809044
model_65,c_4,c_1,c_3,c_8,0.9734,0.0795863
model_66,m_3,c_2,c_12,m_3,0.8349,0.524288
model_67,c_12,m_2,c_4,m_2,0.951,0.167763
model_68,c_4,m_1,c_6,m_3,0.9476,0.175526
model_69,c_2,c_12,c_2,c_11,0.9723,0.0862826
model_70,c_6,c_11,c_10,c_4,0.9704,0.0883721
model_71,c_12,c_4,c_2,c_6,0.9734,0.0868033
model_72,c_10,c_3,c_1,c_4,0.9737,0.0849209
model_73,c_8,m_2,c_5,c_10,0.9511,0.164461
model_74,c_12,c_4,m_2,c_10,0.9563,0.149529
model_75,m_1,c_5,c_4,c_1,0.9329,0.219666
model_76,c_4,c_10,c_2,m_1,0.9744,0.0826427
model_77,c_1,c_12,c_7,c_11,0.9747,0.081467
model_78,c_7,m_3,c_7,c_4,0.9145,0.281141
model_79,c_8,m_1,m_1,c_7,0.9127,0.315666
model_80,c_11,m_2,c_3,c_1,0.9531,0.160019
model_81,c_2,c_1,c_3,c_9,0.9735,0.0837241
model_82,m_3,c_4,s,-,0.8101,0.62372
model_83,c_8,c_4,c_6,s,0.9732,0.0825979
model_84,c_4,m_3,c_5,s,0.9255,0.249445
model_85,c_7,c_6,c_4,c_9,0.9741,0.0841549
model_86,c_2,c_2,c_5,c_1,0.9725,0.0826686
model_87,c_4,c_2,c_3,s,0.9738,0.0818698
model_88,c_8,c_5,s,-,0.97,0.106308
model_89,c_2,m_3,c_3,c_6,0.9469,0.178403
model_90,c_6,c_7,c_5,c_1,0.9731,0.0842956
model_91,c_3,c_7,c_12,m_3,0.9747,0.0832334
model_92,c_4,m_1,c_10,c_5,0.9495,0.171404
model_93,c_4,c_12,c_3,c_8,0.974,0.0803533
model_94,c_6,c_9,c_12,c_9,0.9724,0.0847531
model_95,c_6,c_5,c_7,c_11,0.9721,0.0838791
model_96,c_5,c_6,c_3,c_4,0.9749,0.0784225
model_97,m_2,c_11,m_3,c_12,0.8788,0.566163
model_98,c_7,c_9,c_7,c_7,0.9742,0.0843004
model_99,c_5,m_3,c_8,c_5,0.945,0.187035
model_100,c_2,c_3,c_6,c_1,0.9727,0.0863411
model_101,c_12,c_8,c_5,c_3,0.9733,0.0851384
model_102,m_3,c_6,c_1,c_8,0.8333,0.536142
model_103,c_3,c_1,c_3,c_5,0.973,0.0836089
model_104,m_1,c_4,m_1,c_1,0.8986,0.383824
model_105,c_11,c_1,c_3,c_10,0.9736,0.0851142
model_106,c_8,c_5,s,-,0.967,0.108533
model_107,c_5,c_11,c_2,m_1,0.9726,0.0868642
model_108,c_4,c_9,c_3,c_10,0.9731,0.0859579
model_109,c_12,c_9,c_1,s,0.9721,0.0913765
model_110,c_4,c_8,c_1,m_3,0.9742,0.0803261
model_111,m_1,c_6,c_4,c_10,0.9312,0.227733
model_112,c_10,c_4,m_2,c_11,0.9547,0.149321
model_113,c_9,c_8,c_9,m_2,0.9705,0.0891884
model_114,c_5,m_3,c_4,c_6,0.9448,0.191339
model_115,c_3,c_12,c_4,c_4,0.9716,0.0875763
model_116,c_1,c_4,c_11,c_1,0.9755,0.081041
model_117,c_3,c_5,m_1,c_4,0.9608,0.132526
model_118,c_8,c_12,c_11,c_12,0.9732,0.083131
model_119,c_8,c_12,m_2,c_4,0.9671,0.113925
model_120,c_8,c_2,c_8,m_2,0.9731,0.0857774
model_121,c_4,m_1,c_5,c_6,0.9485,0.175857
