EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_0,c_6,c_4,c_1,c_8,0.9807,0.059876386,model_1157
episode_1,c_5,c_4,c_9,m_1,0.9808,0.05902005,model_1765
episode_2,c_2,c_10,m_2,c_5,0.9711,0.09313846,model_886
episode_3,c_10,c_6,c_1,c_3,0.9795,0.06619243,model_64
episode_4,c_2,c_1,c_3,m_2,0.9804,0.061595798,model_1263
episode_5,c_2,m_2,c_8,m_2,0.9679,0.10396113,model_73
episode_6,c_2,c_1,m_2,c_8,0.9705,0.095798284,model_1462
episode_7,c_8,c_1,c_7,c_11,0.9809,0.060179543,model_328
episode_8,c_3,m_2,c_8,m_3,0.9709,0.09861464,model_1279
episode_9,c_2,m_3,c_11,c_12,0.9688,0.09805016,model_951
episode_10,c_3,c_3,c_10,c_8,0.9781,0.06544271,model_344
episode_11,c_2,c_1,c_6,c_3,0.9806,0.06052495,model_570
episode_12,c_12,c_2,c_8,c_2,0.9807,0.059763152,model_347
episode_13,c_5,c_11,m_3,c_1,0.9805,0.06446717,model_1908
episode_14,c_1,c_11,c_3,c_6,0.9804,0.06184937,model_1786
episode_15,c_9,c_2,c_8,m_2,0.9798,0.059511825,model_1305
episode_16,m_2,m_3,c_10,c_4,0.282,1.9378843,model_563
episode_17,c_12,c_6,c_6,c_6,0.9807,0.06161135,model_549
episode_18,c_1,m_2,c_7,s,0.9638,0.11727742,model_705
episode_19,c_2,c_6,c_9,c_4,0.9808,0.060487118,model_1483
episode_20,c_4,c_2,c_6,c_12,0.9803,0.060191534,model_1443
episode_21,c_1,c_2,c_3,c_12,0.9811,0.06147395,model_241
episode_22,c_5,c_3,c_9,m_3,0.981,0.057982482,model_979
episode_23,c_12,c_6,c_3,c_3,0.9791,0.06335271,model_1326
episode_24,c_4,c_11,m_1,c_11,0.9722,0.09236679,model_52
episode_25,c_12,m_3,c_4,c_9,0.9747,0.08828791,model_1999
episode_26,c_5,c_10,c_1,c_10,0.9803,0.065974884,model_218
episode_27,c_10,c_11,c_1,c_10,0.9806,0.06271075,model_1466
episode_28,c_7,m_2,c_6,c_4,0.9643,0.11689243,model_1559
episode_29,c_12,c_10,c_4,c_1,0.9809,0.062230665,model_599
episode_29,c_12,c_10,c_4,c_1,0.9799,0.06637684,model_1058
episode_30,c_9,c_9,m_1,c_1,0.9735,0.08549303,model_1409
episode_31,m_1,c_6,c_8,c_10,0.9579,0.14375664,model_1625
episode_32,c_4,c_7,c_1,c_11,0.9798,0.061901104,model_1260
episode_33,c_1,m_2,c_5,c_5,0.9643,0.11681385,model_1048
episode_34,c_10,c_6,m_1,c_9,0.974,0.087817065,model_1030
episode_35,c_2,c_6,c_5,c_3,0.9801,0.06242996,model_166
episode_36,c_1,m_1,c_8,c_12,0.9666,0.1105884,model_1752
episode_37,c_7,m_1,c_4,c_7,0.9654,0.115905665,model_1683
episode_38,c_11,c_7,c_5,c_10,0.9804,0.057973567,model_133
episode_39,c_3,c_10,c_12,c_5,0.9812,0.0613197,model_476
episode_40,c_2,c_1,c_10,c_1,0.9807,0.05875539,model_1224
episode_41,c_11,m_2,c_3,c_4,0.9687,0.1066057,model_509
episode_42,c_1,c_9,c_7,c_5,0.9803,0.062590964,model_1993
episode_43,c_4,s,-,-,0.9588,0.14197478,model_377
episode_43,c_4,s,-,-,0.9584,0.14299645,model_1288
episode_43,c_4,s,-,-,0.9587,0.13953258,model_1641
episode_44,c_8,m_3,c_9,c_12,0.9709,0.09812579,model_1531
episode_45,c_5,c_11,c_12,c_2,0.9813,0.06003616,model_1569
episode_46,c_3,m_3,c_2,s,0.9744,0.08600824,model_1692
episode_47,c_9,m_1,c_10,c_4,0.9677,0.10693857,model_1715
episode_48,c_1,c_5,c_12,c_6,0.9813,0.057423465,model_519
episode_49,c_12,c_9,c_3,m_1,0.9805,0.06272955,model_1804
episode_50,c_11,c_2,c_9,c_1,0.9808,0.06023071,model_1654
episode_51,c_6,c_5,s,-,0.9766,0.076352805,model_1538
episode_52,c_12,c_11,m_3,c_4,0.9799,0.06859865,model_1564
episode_53,c_4,c_5,c_3,c_11,0.9787,0.06371457,model_436
episode_54,c_10,c_2,m_1,c_2,0.9716,0.09144215,model_1726
episode_55,c_6,c_5,s,-,0.9766,0.076352805,model_1538
episode_56,c_2,m_3,c_9,c_8,0.9668,0.10929117,model_726
episode_57,c_4,c_1,c_9,c_8,0.9822,0.057350915,model_684
episode_58,c_7,c_9,c_4,c_10,0.9813,0.061491452,model_289
episode_59,m_2,m_3,c_10,c_4,0.282,1.9378843,model_563
episode_60,c_6,c_8,c_12,c_8,0.9811,0.06382395,model_1012
episode_61,c_3,c_4,c_9,c_6,0.9786,0.06619497,model_1524
episode_62,c_7,c_9,c_1,m_3,0.9806,0.061649587,model_528
episode_63,c_10,c_1,c_9,c_4,0.9806,0.060291328,model_260
episode_64,c_7,c_6,c_3,c_10,0.9811,0.058992337,model_434
episode_65,c_12,m_2,m_3,c_9,0.9492,0.2054983,model_876
episode_66,c_12,c_8,c_4,c_7,0.9796,0.06365447,model_1985
episode_67,c_7,c_1,m_2,c_4,0.9711,0.097369425,model_1338
episode_68,c_2,c_4,c_5,c_11,0.9803,0.06304216,model_861
episode_69,c_11,c_3,c_5,s,0.9817,0.05985505,model_1729
episode_70,c_5,c_4,m_3,c_11,0.975,0.08211986,model_1879
episode_71,c_3,c_8,c_1,c_8,0.9777,0.06571635,model_1412
episode_72,c_3,c_4,s,-,0.9754,0.077086404,model_268
episode_72,c_3,c_4,s,-,0.9763,0.07313987,model_1209
episode_73,c_1,c_1,m_2,c_8,0.9701,0.09634421,model_606
episode_74,c_1,c_2,c_6,m_2,0.9813,0.05984089,model_258
episode_75,c_4,c_9,m_1,c_9,0.9738,0.08689149,model_1650
episode_76,c_8,c_2,c_7,c_4,0.9808,0.059057858,model_1606
episode_77,c_11,c_4,m_1,c_10,0.9722,0.09327568,model_1029
episode_78,c_10,c_10,c_6,m_3,0.9814,0.059637856,model_314
episode_79,c_6,c_5,c_5,c_5,0.9789,0.06509986,model_1576
episode_80,c_10,c_5,c_7,m_3,0.9806,0.05937302,model_342
episode_81,c_11,c_6,c_12,c_6,0.9794,0.063087195,model_1906
episode_82,c_6,c_4,c_7,m_2,0.9807,0.06068979,model_210
episode_83,c_7,c_11,c_3,c_9,0.9797,0.06132094,model_976
episode_84,c_9,c_4,s,-,0.9772,0.072473556,model_1685
episode_85,m_3,c_11,c_5,c_5,0.8703,0.39369377,model_180
episode_86,c_9,c_6,c_5,m_3,0.9814,0.058819868,model_155
episode_87,c_10,m_2,s,-,0.948,0.18090208,model_1460
episode_88,c_3,c_10,m_3,c_5,0.9775,0.07554755,model_255
episode_89,c_10,m_1,c_10,c_6,0.9669,0.10986902,model_665
episode_90,c_2,s,-,-,0.962,0.13089815,model_250
episode_90,c_2,s,-,-,0.9618,0.1329981,model_1043
episode_91,c_2,c_11,c_4,c_10,0.9795,0.061958596,model_1703
episode_92,c_3,c_1,c_8,m_2,0.9785,0.06606656,model_1722
episode_93,c_4,c_7,c_10,c_6,0.9795,0.06596918,model_1708
episode_94,c_2,m_1,c_12,c_5,0.9706,0.1037333,model_991
episode_95,c_6,c_8,c_10,c_7,0.9801,0.06256485,model_1273
episode_96,c_6,c_4,c_1,c_4,0.9808,0.05913852,model_2013
episode_97,c_8,c_6,m_2,c_4,0.9783,0.07183302,model_949
