EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_0,c_6,c_5,c_6,m_2,0.9797,0.06303693,model_1241
episode_1,c_10,c_12,c_5,c_11,0.9792,0.06250021,model_1172
episode_2,c_11,c_5,c_6,c_8,0.9804,0.061062727,model_336
episode_3,c_6,c_1,s,-,0.9767,0.074852854,model_1967
episode_4,c_5,c_4,c_1,c_2,0.9797,0.05951709,model_9
episode_5,c_2,c_10,m_2,c_5,0.9711,0.09313846,model_886
episode_6,c_7,c_3,c_4,c_1,0.9803,0.059541855,model_1476
episode_7,c_1,m_3,c_6,c_3,0.9575,0.14048027,model_1376
episode_8,c_3,c_10,s,-,0.976,0.07532536,model_953
episode_8,c_3,c_10,s,-,0.9757,0.079076394,model_1259
episode_8,c_3,c_10,s,-,0.9757,0.07617077,model_1948
episode_9,c_3,c_3,c_9,c_9,0.9792,0.06345027,model_587
episode_10,c_12,c_10,c_4,c_1,0.9809,0.062230665,model_599
episode_10,c_12,c_10,c_4,c_1,0.9799,0.06637684,model_1058
episode_11,c_9,c_2,c_6,m_2,0.9794,0.065377906,model_933
episode_12,c_2,m_1,c_1,c_11,0.9677,0.11135716,model_1342
episode_12,c_2,m_1,c_1,c_11,0.9683,0.10752766,model_1837
episode_13,c_1,m_3,c_4,c_2,0.9557,0.14866444,model_733
episode_14,c_5,c_3,c_12,s,0.98,0.06164016,model_762
episode_15,c_3,c_4,s,-,0.9754,0.077086404,model_268
episode_15,c_3,c_4,s,-,0.9763,0.07313987,model_1209
episode_16,c_5,c_7,c_2,c_1,0.9809,0.059971705,model_4
episode_17,c_6,c_5,c_6,m_2,0.9797,0.06303693,model_1241
episode_18,c_12,m_1,m_3,c_12,0.9644,0.14296243,model_722
episode_19,c_10,m_2,c_2,c_6,0.9625,0.123813085,model_725
episode_20,c_10,m_2,c_8,c_4,0.9633,0.11901236,model_1580
episode_21,c_9,c_7,c_10,c_5,0.9786,0.063212834,model_213
episode_22,c_7,c_9,m_2,m_1,0.9796,0.06953661,model_319
episode_23,c_6,c_1,c_8,c_4,0.9805,0.058456857,model_1836
episode_24,c_5,c_2,c_1,c_6,0.9803,0.061426476,model_2016
episode_25,c_6,c_3,c_3,c_7,0.9812,0.059899528,model_1374
episode_26,c_1,m_3,c_12,s,0.9427,0.2052067,model_994
episode_27,c_5,c_6,c_2,c_5,0.9805,0.061114952,model_1931
episode_28,c_5,c_7,c_11,c_5,0.9805,0.05910269,model_1096
episode_29,c_1,m_2,c_8,c_1,0.9647,0.118155435,model_1455
episode_30,m_3,c_7,c_9,c_11,0.8729,0.38218647,model_1975
episode_31,c_3,c_1,c_6,m_3,0.9785,0.06786024,model_718
episode_32,c_9,m_2,m_1,c_11,0.9577,0.14559323,model_323
episode_33,c_3,c_8,c_6,c_6,0.9793,0.06414676,model_229
episode_34,c_8,c_8,c_6,c_4,0.9816,0.057725217,model_558
episode_35,c_2,c_11,c_7,c_12,0.98,0.061485153,model_1800
episode_36,c_3,c_10,c_5,c_11,0.9793,0.06262065,model_1373
episode_37,c_11,c_6,c_4,c_3,0.9797,0.06114056,model_410
episode_38,c_3,c_11,c_12,s,0.9803,0.062084597,model_514
episode_39,c_6,c_11,c_4,c_9,0.9789,0.062398493,model_1026
episode_40,c_7,c_10,m_3,c_7,0.9732,0.09098357,model_1384
episode_41,c_9,c_7,c_10,c_5,0.9786,0.063212834,model_213
episode_42,c_11,m_2,c_3,c_4,0.9687,0.1066057,model_509
episode_43,c_3,c_8,c_3,c_2,0.9795,0.06370527,model_1385
episode_44,c_9,m_1,c_10,c_4,0.9677,0.10693857,model_1715
episode_45,c_10,m_3,c_9,m_3,0.9571,0.14532997,model_1083
episode_46,c_5,m_1,c_7,c_12,0.967,0.108568914,model_392
episode_47,c_11,s,-,-,0.9599,0.13573883,model_354
episode_47,c_11,s,-,-,0.9608,0.1349148,model_1239
episode_48,c_3,c_5,s,-,0.9769,0.07370273,model_1704
episode_49,c_8,c_7,c_8,c_9,0.9789,0.06410198,model_1990
episode_50,c_3,c_6,c_10,c_1,0.9803,0.061203342,model_1973
episode_51,c_1,c_11,c_5,c_2,0.9805,0.060178496,model_1073
episode_52,c_2,m_2,c_6,c_6,0.9679,0.10591524,model_1325
episode_53,c_1,c_10,c_11,c_8,0.9806,0.060427073,model_2020
episode_54,c_6,c_12,m_3,c_1,0.9804,0.06486068,model_409
episode_55,c_7,c_4,c_5,c_8,0.9816,0.057367686,model_935
episode_56,c_11,c_11,c_7,m_3,0.9793,0.0633128,model_1437
episode_57,m_3,c_8,c_11,c_4,0.8693,0.3907461,model_619
episode_58,c_2,c_9,m_3,c_8,0.9814,0.0620998,model_1123
episode_59,c_10,c_7,s,-,0.9769,0.0760388,model_1432
episode_60,c_12,c_9,c_7,s,0.9808,0.061621655,model_1664
episode_61,c_5,c_1,m_2,c_8,0.9713,0.09486052,model_49
episode_62,c_11,m_1,c_2,c_12,0.9673,0.10926691,model_1370
episode_63,c_12,c_11,m_3,c_4,0.9799,0.06859865,model_1564
episode_64,c_2,c_1,s,-,0.9782,0.07203898,model_38
episode_65,c_12,s,-,-,0.9625,0.13331962,model_41
episode_66,c_10,c_9,c_12,m_1,0.9802,0.059403095,model_200
episode_67,c_5,c_12,c_11,c_7,0.9782,0.06722261,model_1074
episode_68,c_7,c_6,c_11,m_2,0.9803,0.063397944,model_771
episode_68,c_7,c_6,c_11,m_2,0.9805,0.059628427,model_1513
episode_69,c_8,c_5,c_9,m_3,0.9808,0.059427653,model_758
episode_70,c_5,c_12,c_7,m_2,0.9794,0.06195088,model_928
episode_71,c_10,c_7,c_6,s,0.981,0.060294967,model_1655
episode_72,c_2,m_3,c_10,c_9,0.9698,0.098634884,model_1828
episode_73,c_7,c_4,c_11,c_8,0.9808,0.060152236,model_2010
episode_74,c_3,c_8,c_8,m_2,0.9778,0.06409507,model_110
episode_75,c_4,c_9,c_9,c_6,0.98,0.061865974,model_1134
episode_76,c_5,c_11,c_11,c_4,0.9799,0.06249333,model_127
episode_76,c_5,c_11,c_11,c_4,0.9794,0.06342187,model_1491
episode_77,c_3,c_2,m_2,m_1,0.9743,0.0849281,model_124
episode_78,c_12,c_11,m_2,c_4,0.9746,0.08210918,model_1212
episode_79,c_2,c_11,s,-,0.9766,0.075264,model_182
episode_79,c_2,c_11,s,-,0.9767,0.071981534,model_1933
episode_80,c_6,c_8,c_6,s,0.979,0.06398562,model_1514
episode_81,c_8,c_4,m_1,c_4,0.9717,0.09356434,model_322
episode_82,c_12,c_1,c_5,c_5,0.9803,0.061781045,model_1953
episode_83,c_5,c_2,c_5,c_9,0.9797,0.05933613,model_1463
episode_84,c_4,c_10,c_10,m_1,0.9822,0.055473067,model_455
episode_85,c_3,m_1,m_3,c_6,0.9592,0.1551915,model_259
episode_86,m_3,c_12,c_1,c_5,0.8688,0.39301583,model_1802
episode_87,c_1,c_9,c_3,m_3,0.9806,0.059488878,model_55
episode_88,c_2,c_2,c_2,c_2,0.9787,0.06430438,model_1550
episode_89,c_7,c_11,c_7,c_2,0.9802,0.06056547,model_1249
episode_90,c_9,c_1,c_3,c_1,0.9788,0.06505774,model_245
episode_91,c_11,c_4,c_4,s,0.9792,0.061011273,model_1566
episode_92,c_9,c_1,s,-,0.9756,0.074224904,model_160
episode_93,c_9,m_3,s,-,0.9668,0.11862636,model_686
episode_93,c_9,m_3,s,-,0.965,0.12245402,model_1142
episode_93,c_9,m_3,s,-,0.9654,0.12065855,model_2009
episode_94,c_4,c_1,c_3,c_3,0.9813,0.058127277,model_854
episode_95,c_11,c_1,m_1,c_7,0.9724,0.09049202,model_146
episode_96,c_4,c_4,c_2,c_10,0.9805,0.05898783,model_1546
episode_97,c_3,m_2,c_8,c_9,0.9685,0.10287824,model_1592
episode_98,c_8,c_9,m_3,c_10,0.9811,0.059912283,model_774
episode_99,c_3,c_4,c_1,c_7,0.9789,0.06498076,model_1666
episode_100,c_7,c_9,m_2,c_3,0.9774,0.07147625,model_1121
episode_101,c_6,c_7,c_9,c_8,0.9794,0.06207581,model_604
episode_102,c_11,c_4,c_10,c_4,0.9811,0.05927693,model_1091
episode_103,c_7,c_1,c_3,c_3,0.9811,0.059130065,model_1486
episode_104,c_11,c_3,c_1,c_3,0.9791,0.060941104,model_1902
episode_105,c_9,m_2,c_4,c_12,0.9712,0.099743985,model_887
episode_106,c_6,c_7,c_10,c_5,0.9797,0.06314159,model_1320
episode_107,c_8,c_2,c_9,c_5,0.9801,0.06098244,model_203
episode_108,c_8,c_9,c_4,c_5,0.979,0.064162634,model_538
episode_109,c_5,m_3,m_3,c_8,0.761,1.0470812,model_1350
episode_110,c_11,c_7,c_1,c_2,0.9805,0.0612563,model_990
episode_111,c_5,c_12,c_12,c_12,0.9811,0.05931034,model_1497
episode_112,c_1,c_12,c_2,m_2,0.9808,0.062215943,model_1139
episode_113,c_6,c_3,c_12,c_3,0.9808,0.0622445,model_120
episode_114,c_1,c_1,c_6,m_2,0.9813,0.05878201,model_1283
episode_115,c_10,c_12,c_11,c_7,0.9797,0.061324626,model_362
episode_116,c_6,c_4,s,-,0.9764,0.07490824,model_444
episode_116,c_6,c_4,s,-,0.9768,0.072690554,model_1315
episode_116,c_6,c_4,s,-,0.9761,0.0745022,model_1936
episode_117,c_3,m_3,c_11,c_10,0.9747,0.08765347,model_498
episode_118,c_12,c_3,c_7,m_1,0.9813,0.05873222,model_1700
episode_119,c_6,c_4,m_2,s,0.9715,0.09287151,model_1609
episode_120,c_9,c_1,s,-,0.9756,0.074224904,model_160
episode_121,c_11,c_3,c_11,m_3,0.9788,0.062023405,model_1215
episode_122,c_1,c_5,c_12,c_6,0.9813,0.057423465,model_519
episode_123,c_3,c_2,c_9,c_1,0.9792,0.060764838,model_930
episode_124,c_10,c_3,s,-,0.9778,0.07080029,model_1968
episode_125,c_4,m_2,c_8,m_3,0.9635,0.11972558,model_451
episode_126,c_9,c_8,m_2,m_2,0.9731,0.087615274,model_893
episode_127,c_8,c_12,s,-,0.9759,0.074727885,model_1890
episode_128,c_2,c_8,c_12,c_5,0.9802,0.062010348,model_1565
episode_129,c_5,c_4,s,-,0.9753,0.07347515,model_530
episode_130,c_11,s,-,-,0.9599,0.13573883,model_354
episode_130,c_11,s,-,-,0.9608,0.1349148,model_1239
episode_131,c_2,c_6,c_7,c_2,0.981,0.060626227,model_1579
episode_132,c_11,m_1,c_1,c_6,0.9657,0.11186331,model_540
episode_133,c_4,c_1,c_7,c_2,0.9801,0.059052497,model_1812
episode_134,c_1,c_3,m_1,c_6,0.9749,0.0812947,model_316
episode_135,c_5,c_6,m_3,s,0.9822,0.059985485,model_1827
episode_136,c_1,m_3,m_2,c_5,0.8707,0.52082753,model_207
episode_137,c_8,c_3,c_3,c_2,0.9809,0.060790285,model_357
episode_138,c_12,c_1,c_3,c_10,0.98,0.06208241,model_2012
episode_139,c_8,c_12,s,-,0.9759,0.074727885,model_1890
episode_140,c_7,c_2,c_5,m_1,0.9807,0.061709102,model_1981
episode_141,c_7,c_2,c_11,m_1,0.9795,0.063031115,model_373
episode_142,c_7,c_12,m_1,c_9,0.9737,0.0859404,model_1613
episode_143,c_5,c_4,c_2,c_7,0.9809,0.060670376,model_261
episode_144,c_4,c_2,c_4,c_5,0.9801,0.061482407,model_1888
episode_145,c_10,c_10,c_6,m_3,0.9814,0.059637856,model_314
episode_146,m_2,m_3,c_10,c_4,0.282,1.9378843,model_563
