EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_0,c_8,c_6,c_2,m_3,0.7275,0.7705446959
episode_1,c_8,c_11,c_7,m_3,0.7413,0.7577078819
episode_2,c_8,m_3,c_2,c_5,0.7455,0.7687329579
episode_3,c_1,c_2,c_8,c_8,0.702,0.8649785519
episode_4,c_12,c_6,s,-,0.7254,0.8520607018
episode_4,c_12,c_6,s,-,0.7137,0.8401800577
episode_4,c_12,c_6,s,-,0.7285,0.8010381582
episode_5,c_9,c_8,m_2,m_1,0.7428,0.7489397227
episode_6,c_1,c_10,c_8,c_3,0.6683,0.9963452749
episode_7,c_3,c_4,c_2,m_2,0.7082,0.8348408708
episode_8,c_7,c_7,c_11,m_2,0.713,0.8769320754
episode_9,c_10,c_10,c_11,c_7,0.7536,0.7693308115
episode_10,c_2,c_2,c_2,c_2,0.7023,0.9087733494
episode_11,c_2,c_1,c_1,c_3,0.7203,0.8291439315
episode_12,c_4,c_12,c_5,c_5,0.7321,0.793699144
episode_13,c_5,c_12,c_8,c_1,0.7215,0.8491020701
episode_14,c_6,c_2,c_9,c_10,0.718,0.8457755962
episode_15,c_4,c_7,c_10,c_6,0.7406,0.7766357836
episode_16,c_10,c_9,c_10,c_6,0.7192,0.8234606778
episode_17,c_10,c_3,m_1,c_4,0.7258,0.8116781203
episode_18,c_1,c_5,c_8,c_2,0.7282,0.8328195712
episode_19,c_7,c_7,c_3,c_9,0.7302,0.8128853524
episode_20,c_2,c_12,c_11,c_11,0.7534,0.7763155985
episode_21,c_5,m_2,c_3,c_10,0.7265,0.818124239
episode_22,c_1,c_2,m_3,m_2,0.7024,0.8715403479
episode_23,c_1,c_5,c_7,m_3,0.7419,0.7531944425
episode_24,c_7,c_9,m_3,c_4,0.7322,0.7781993583
episode_25,c_10,c_3,c_11,c_11,0.7209,0.8433535183
episode_26,c_9,c_6,c_11,c_10,0.724,0.8099915779
episode_27,c_7,m_1,c_10,s,0.7019,0.9110783421
episode_28,c_12,c_1,c_5,c_6,0.6807,0.9331054158
episode_29,c_11,m_1,c_10,c_9,0.763,0.7275709463
episode_30,c_10,c_12,c_2,c_9,0.765,0.751259565
episode_31,c_3,c_10,c_3,c_4,0.7281,0.7905865475
